"att_id","prod_id"
204,2434
206,2434
204,2435
207,2435
204,2436
208,2436
204,2437
209,2437
1753,19537
1068,17889
3062,17889
1068,17890
3063,17890
110,22886
1018,17893
2897,17893
1018,17894
3061,17894
1018,17895
3064,17895
1018,17896
3065,17896
110,54404
40,17958
65,17958
54,17959
65,17959
6981,54405
26,17988
300,17988
40,17989
300,17989
54,17990
300,17990
63,17991
300,17991
73,17992
300,17992
86,17993
300,17993
63,17934
298,17934
6983,54050
73,54911
6345,54419
63,54189
63,54192
1746,39164
1778,39190
1752,39193
4936,39193
40,18025
61,18025
54,18026
227,2483
210,2483
200,2471
213,2471
201,2472
213,2472
212,2473
213,2473
219,2475
226,2475
225,2476
226,2476
224,2477
226,2477
223,2478
226,2478
222,2479
226,2479
221,2480
226,2480
206,2484
228,2484
219,2485
228,2485
220,2486
228,2486
200,2488
201,2489
212,2490
212,2492
229,2492
229,2493
230,2493
212,2495
232,2495
230,2496
232,2496
226,2498
230,2498
226,2499
233,2499
230,2501
234,2501
235,2503
200,2505
201,2506
212,2507
230,2508
236,2509
213,2511
237,2512
199,2514
213,2514
200,2515
213,2515
210,2516
213,2516
199,2517
237,2517
200,2518
237,2518
210,2519
237,2519
200,2525
229,2525
201,2526
229,2526
200,2527
232,2527
201,2528
232,2528
238,2530
240,2530
239,2531
240,2531
87,2533
98,2534
115,2535
87,2537
98,2538
115,2539
87,2541
98,2542
115,2543
128,2544
87,2546
98,2547
115,2548
128,2549
128,2551
243,2551
140,2553
243,2553
241,2555
243,2555
241,2556
244,2556
242,2557
243,2557
242,2558
244,2558
87,2560
98,2561
115,2562
87,2564
98,2565
115,2566
67,2568
87,2569
98,2570
115,2571
128,2572
140,2573
67,2575
87,2576
98,2577
115,2578
128,2579
140,2580
55,2583
67,2584
87,2585
98,2586
115,2587
128,2588
140,2589
128,2591
140,2592
241,2593
242,2594
245,2595
55,2597
67,2598
67,2600
87,2601
98,2602
115,2603
128,2604
140,2605
55,2607
67,2608
87,2609
98,2610
115,2611
128,2612
140,2613
67,2615
87,2616
98,2617
115,2618
128,2619
140,2620
67,2622
87,2623
98,2624
115,2625
128,2626
140,2627
67,2629
87,2630
98,2631
115,2632
128,2633
140,2634
87,2636
211,2636
98,2637
61,18026
61,18027
63,18027
61,18028
73,18028
211,2637
115,2638
211,2638
128,2639
211,2639
140,2640
211,2640
87,2641
214,2641
98,2642
214,2642
115,2643
214,2643
128,2644
214,2644
140,2645
214,2645
87,2648
211,2648
98,2649
211,2649
115,2650
211,2650
128,2651
211,2651
140,2652
211,2652
87,2653
214,2653
98,2654
214,2654
115,2655
214,2655
128,2656
214,2656
140,2657
214,2657
87,2659
239,2659
98,2660
239,2660
115,2661
239,2661
128,2662
239,2662
140,2663
239,2663
87,2664
246,2664
98,2665
246,2665
115,2666
246,2666
128,2667
246,2667
140,2668
246,2668
128,2670
140,2671
241,2672
242,2673
245,2674
98,2676
115,2677
128,2678
140,2679
67,2681
87,2682
98,2683
115,2684
128,2685
128,2687
140,2688
241,2689
242,2690
245,2691
247,2692
98,2694
115,2695
128,2696
87,2698
246,2698
98,2699
246,2699
115,2700
246,2700
87,2702
246,2702
98,2703
246,2703
115,2704
246,2704
128,2705
246,2705
140,2706
246,2706
67,2708
87,2709
98,2710
115,2711
128,2712
87,2714
98,2715
115,2716
128,2718
140,2719
241,2720
128,2722
140,2723
241,2724
67,2726
87,2727
98,2728
115,2729
381,72743
87,2732
98,2733
115,2734
248,2736
249,2737
250,2738
251,2739
252,2740
249,2742
250,2743
252,2744
253,2745
254,2747
255,2748
254,2750
255,2751
254,2753
255,2754
304,2770
305,2771
193,2788
194,2789
65,2824
86,2824
18,2825
86,2825
65,2826
73,2826
18,2827
73,2827
63,2828
65,2828
18,2829
63,2829
54,2830
65,2830
18,2831
54,2831
40,2832
65,2832
18,2833
40,2833
26,2834
65,2834
18,2835
26,2835
10,2843
18,2843
26,2843
18,2844
26,2844
32,2844
18,2845
26,2845
42,2845
18,2846
26,2846
59,2846
10,2847
18,2847
40,2847
18,2848
32,2848
40,2848
18,2849
40,2849
42,2849
18,2850
40,2850
59,2850
10,2851
18,2851
54,2851
18,2852
32,2852
54,2852
18,2853
42,2853
54,2853
18,2854
54,2854
59,2854
10,2855
18,2855
63,2855
18,2856
32,2856
63,2856
18,2857
42,2857
63,2857
18,2858
59,2858
63,2858
10,2859
18,2859
73,2859
18,2860
32,2860
73,2860
18,2861
42,2861
73,2861
18,2862
59,2862
73,2862
10,2863
18,2863
86,2863
18,2864
32,2864
86,2864
18,2865
42,2865
86,2865
18,2866
59,2866
86,2866
1057,17891
3060,17891
1754,19537
26,18273
75,3067
86,3067
73,3068
152,3068
73,3069
82,3069
73,3070
75,3070
63,3071
152,3071
63,3072
82,3072
63,3073
75,3073
152,18273
40,18274
54,3075
82,3075
54,3076
75,3076
152,18274
73,18118
40,18282
40,3079
75,3079
61,18282
54,18283
61,18283
26,18288
65,18288
199,3101
203,3101
200,3102
203,3102
201,3103
203,3103
202,3104
203,3104
40,18289
65,18289
54,18290
65,18290
63,18291
65,18291
65,18292
73,18292
261,3132
265,3134
266,3135
267,3136
268,3137
18,3142
269,3142
18,3143
270,3143
18,3144
271,3144
18,3145
272,3145
18,3146
273,3146
18,3147
274,3147
18,3148
275,3148
18,3149
276,3149
18,3150
277,3150
18,3151
278,3151
18,3152
279,3152
18,3153
282,3153
18,3166
273,3166
18,3167
274,3167
18,3168
275,3168
18,3169
276,3169
18,3170
277,3170
272,3177
18,3179
269,3179
18,3180
270,3180
18,3181
271,3181
18,3182
272,3182
18,3183
273,3183
18,3184
274,3184
18,3185
275,3185
18,3186
276,3186
18,3187
277,3187
18,3188
278,3188
18,3189
279,3189
18,3190
282,3190
18,3203
271,3203
18,3204
272,3204
18,3205
273,3205
18,3206
276,3206
18,3207
277,3207
18,3208
279,3208
18,3209
282,3209
18,3217
281,3217
18,3218
283,3218
18,3219
284,3219
18,3220
285,3220
18,3221
286,3221
18,3222
287,3222
18,3229
277,3229
18,3230
278,3230
152,3233
275,3233
152,3234
277,3234
152,3235
278,3235
18,3239
274,3239
18,3240
276,3240
18,3243
270,3243
18,3244
273,3244
18,3245
276,3245
18,3246
277,3246
18,3251
146,3251
18,3252
144,3252
18,3253
136,3253
18,3254
120,3254
18,3255
114,3255
18,3256
104,3256
75,3263
94,3263
18,3264
94,3264
75,3265
86,3265
18,3266
86,3266
73,3267
75,3267
18,3268
73,3268
63,3269
75,3269
18,3270
63,3270
54,3271
75,3271
18,3272
54,3272
40,3273
75,3273
18,3274
40,3274
26,3275
75,3275
18,3276
26,3276
61,3291
271,3291
61,3292
272,3292
61,3293
274,3293
61,3294
276,3294
82,3299
273,3299
82,3300
274,3300
82,3301
275,3301
75,3305
65,18293
86,18293
272,3305
82,3306
272,3306
75,3307
273,3307
82,3308
273,3308
75,3309
274,3309
82,3310
274,3310
75,3311
275,3311
82,3312
275,3312
75,3313
276,3313
82,3314
276,3314
82,3325
270,3325
82,3326
271,3326
82,3327
272,3327
82,3328
273,3328
82,3329
274,3329
82,3330
275,3330
18,3337
273,3337
18,3338
274,3338
18,3339
275,3339
18,3340
276,3340
18,3341
277,3341
61,3347
275,3347
61,3348
277,3348
61,3349
278,3349
61,3350
279,3350
61,3351
282,3351
92,3357
272,3357
92,3358
273,3358
92,3359
274,3359
92,3360
275,3360
92,3361
276,3361
92,3362
277,3362
65,3369
269,3369
18,3370
269,3370
65,3371
270,3371
18,3372
270,3372
65,3373
271,3373
18,3374
271,3374
65,3375
272,3375
18,3376
272,3376
65,3377
273,3377
18,3378
273,3378
65,3379
274,3379
18,3380
274,3380
65,3381
275,3381
18,3382
275,3382
65,3383
276,3383
18,3384
276,3384
271,3401
288,3401
272,3402
288,3402
273,3403
288,3403
274,3404
288,3404
275,3405
288,3405
276,3406
288,3406
277,3407
288,3407
61,3415
272,3415
61,3416
273,3416
61,3417
274,3417
61,3418
275,3418
61,3419
276,3419
18,3425
270,3425
18,3426
271,3426
18,3427
272,3427
