attribute_line_id;product_tmpl_id;attribute_id;value
9833;17496;60;1272
9834;17496;61;1601
9834;17496;61;1609
9835;17497;60;1333
9835;17497;60;1466
9835;17497;60;1272
9836;17497;61;1601
9836;17497;61;1609
9837;17498;60;1191
9837;17498;60;4645
9838;17499;60;1171
9838;17499;60;1201
9839;17500;9;879
9839;17500;9;880
9839;17500;9;5746
9840;17501;9;1140
9840;17501;9;1523
9840;17501;9;1110
9841;17502;9;5636
9841;17502;9;725
9841;17502;9;879
9842;17503;141;5747
9842;17503;141;5748
9842;17503;141;5749
9842;17503;141;5750
9842;17503;141;5751
9843;17504;11;5752
9843;17504;11;5753
9844;17505;11;5752
9844;17505;11;5753
9845;17506;46;1122
9845;17506;46;1143
9846;17507;58;5239
9846;17507;58;5754
9847;17509;9;1124
9847;17509;9;1107
9847;17509;9;5593
9848;17510;9;1523
9848;17510;9;1140
9849;17511;9;1124
9849;17511;9;5593
9850;17512;9;1107
9850;17512;9;5593
9851;17513;1;54
9852;17514;1;73
9852;17514;1;40
9852;17514;1;54
9852;17514;1;63
9853;17515;1;40
9854;17516;43;2473
9855;17517;43;2478
9856;17518;43;2477
9857;17519;43;2478
9858;17520;43;2477
9859;17521;43;1691
9859;17521;43;1692
9859;17521;43;2477
9860;17522;43;2477
9861;17523;43;2478
9862;17524;43;1784
9862;17524;43;1749
9863;17524;44;1762
9864;17525;44;1762
9865;17525;43;1784
9866;17526;43;5755
9867;17526;44;5756
9868;17527;44;2702
9869;17527;43;1755
9870;17528;44;5757
9871;17528;43;1750
9872;17529;44;5757
9873;17529;43;1778
9874;17530;44;5757
9875;17530;43;1750
9876;17531;43;1749
9877;17531;44;4924
9877;17531;44;3457
9878;17532;44;4924
9879;17532;43;5758
9880;17533;44;5759
9881;17533;43;1795
9882;17534;44;5760
9883;17534;43;5755
9884;17535;43;5761
9885;17535;44;1777
9886;17536;43;1778
9887;17537;44;5762
9888;17537;43;5761
9889;17538;44;3457
9890;17538;43;1795
9891;17539;44;5763
9891;17539;44;5764
9892;17539;43;1755
9893;17540;44;5075
9894;17540;43;1690
9895;17541;44;5074
9896;17541;43;1755
9897;17542;44;5075
9898;17542;43;5765
9899;17543;44;2698
9900;17543;43;5765
9901;17544;44;1754
9901;17544;44;1751
9902;17544;43;5766
9903;17545;43;5766
9904;17545;44;2483
9905;17546;44;5075
9906;17546;43;1690
9907;17547;44;1754
9907;17547;44;1751
9908;17547;43;1755
9909;17548;43;5761
9910;17548;44;5074
9911;17549;44;1777
9912;17549;43;1690
9913;17550;44;1754
9914;17550;43;1690
9915;17551;43;1755
9916;17551;44;1752
9917;17552;43;1749
9918;17552;44;5767
9919;17553;43;1795
9920;17553;44;3457
9921;17554;43;1755
9922;17554;44;4924
9923;17555;43;5768
9924;17555;44;5085
9925;17556;43;1750
9926;17556;44;5763
9927;17557;43;1778
9928;17557;44;5763
9929;17558;44;5075
9930;17558;43;1690
9931;17559;43;5766
9932;17559;44;1754
9932;17559;44;939
9933;17560;43;5769
9934;17560;44;5077
9935;17561;43;1690
9936;17561;44;5770
9937;17562;43;1755
9938;17562;44;5771
9939;17563;43;5761
9940;17564;43;1756
9941;17564;44;5757
9942;17565;44;5772
9943;17565;43;5082
9944;17566;43;1795
9945;17566;44;1777
9945;17566;44;939
9946;17567;43;5769
9947;17567;44;5773
9948;17568;44;5084
9949;17568;43;5755
9950;17569;44;2506
9951;17569;43;1690
9952;17570;43;5761
9953;17570;44;4924
9954;17571;44;4924
9955;17571;43;5082
9956;17572;44;2508
9957;17572;43;1755
9958;17573;43;1795
9959;17573;44;5774
9960;17574;43;5769
9961;17574;44;5775
9962;17575;44;2510
9963;17575;43;5755
9964;17576;43;1690
9965;17576;44;2508
9965;17576;44;5776
9966;17577;43;5761
9967;17577;44;5776
9968;17578;43;5080
9969;17578;44;5777
9970;17579;43;1692
9971;17580;11;5778
9972;17581;11;5778
9973;17582;11;5779
9974;17583;11;5778
9975;17584;11;5778
9976;17585;11;5778
9977;17586;11;5778
9978;17587;44;2483
9979;17587;43;1746
9980;17588;44;2693
9981;17588;43;1765
9982;17589;44;2485
9983;17589;43;1792
9984;17590;45;1803
9985;17591;48;682
9985;17591;48;1173
9985;17591;48;1279
9985;17591;48;1197
9985;17591;48;1128
9986;17591;47;1261
9987;17592;48;5442
9987;17592;48;677
9987;17592;48;5443
9987;17592;48;678
9987;17592;48;3381
