default_code;product_tmpl_id;id;volume;weight
PR/28167;14522;30711;;
M0647842;39507;86533;;
PR/70164;8599;72753;;
64339082;41295;90231;;
PR/70165;8599;72754;;
7857472/MN25;27254;60344;;
PR/28168;14522;30712;;
M0667429;11224;24860;;
M00905126;26398;57813;;
4935482;31808;70580;;
M0645271;32930;72778;;
PR/75932;31552;78514;;
4163679;30903;68420;;
M0618914/62;9465;20553;;
2229406/SA;6085;11448;;
1372502;13674;29723;;
6430682;42032;91795;;
7410584;39683;86914;;
M0041337/1011;38558;84629;;
M0329201/XXXL;8725;18401;;
8732301/07;10183;22455;;
M0666928/;32906;72721;;
pr/6333;14522;30704;;
4163680;30904;68421;;
2402749/VI;27408;72864;;
PR/70166;8599;72755;;
8485224;36478;80490;;
5341305/80;23646;62118;;
1162907;32913;72733;;
4701774/RA;17393;37948;;
1161313/04;2329;2653;;
M0811035;34452;75899;;
4701774/SM;17393;37951;;
M01710036;30909;68426;;
1091103/GR;5837;10826;;
2351755/TS;14503;30660;;
1557415;36321;80114;;
4028501/4445;18468;39528;;
2403691;30759;68046;;
5465739;39551;86609;;
1705804;3872;8397;;
PR/84303;13171;86851;;
2181112/30;33025;72979;;
M0618918/44;9466;20557;;
8486002;12832;27843;;
PR/51855;6091;54402;;
4183803;25029;54804;;
M06451118/66;9439;58601;;
4267825;39776;87099;;
2927445;32932;72780;;
9111316/051;15182;75043;;
2401202/02;30758;68044;;
18018109/A2;11785;26236;;
4028502/4243;18468;39525;;
4703306/R;17500;38305;;
M0618918/50;9466;20560;;
1802575;26620;58920;;
7139348/18;37798;83071;;
2036002;34175;75377;;
4180204;25037;54865;;
1080754;25133;54974;;
2035219/3006;39175;85795;;
M0655243/270;39185;87111;;
M0657847;38267;84020;;
5341712/05;28082;62093;;
M0745604;3128;5891;;
1078903/46;8868;18905;;
M0745620;3133;68708;;
54653994;12524;27419;;
M0253808;30983;68651;;
1887404;32989;72902;;
M0646036;9747;21512;;
1557403/V;10052;22291;;
M02936082;30905;68422;;
10036003/V;29320;64936;;
M0101839/RBO;9610;21048;;
9816087;33387;73729;;
2037405;32544;72045;;
