default_code;product_tmpl_id;id;volume;weight
M0173027;41522;90666;;
M0516506/32;26403;57926;;
M0221602/12;18424;39288;;
4936522;13790;29839;;
78574057;6382;12114;;
1801376/02;43700;95759;;
M0834795;30148;66779;;
M0835732;38462;84431;;
2193902/FG;36578;80703;;
1001731/01;34502;75976;;
4045422;27007;59709;;
M0042902;9958;22085;;
M0042910;9974;22102;;
54653985;12514;27407;;
7399001/M;27724;61422;;
1001626/SY;14546;30950;;
1163819/OR;3222;6093;;
1167703;3640;7075;;
M0749504/M;8664;18077;;
M0251332/001;25507;56624;;
1163847/MIC;3264;6201;;
M0667401/DS;10975;24545;;
4161522/03;11664;25659;;
4161522/75;11664;25660;;
4161523/10;28341;62581;;
4161523/75;28341;62583;;
M0618027/44;37178;81877;;
54653981;12510;27403;;
PR/75495;17044;78078;;
M0131521/08;12056;26922;;
2927438;27228;60279;;
4049310/xxxl;27095;59829;;
1167706/02;3639;7072;;
2457507;29433;65208;;
4049334/XL;22343;49459;;
M0667401/PROP;10975;24555;;
M02915013/20;30356;67168;;
5465346;12454;27347;;
M0819609/L;36285;80037;;
1706509;39285;86016;;
1161203/06;2278;2542;;
M0131538/10;12389;27270;;
M0667402/BI;10978;24567;;
M0251332/04;25507;56625;;
7857412/15;6379;12091;;
1801376/03;43700;95758;;
4700443;32093;71197;;
7411768/305;37891;83306;;
4700447;32099;71204;;
7411917/0;26371;58276;;
1163315;2993;5442;;
1161121/30;2318;2507;;
1167705;3643;7082;;
M0251332/02;25507;56623;;
M02915013/40;30356;67167;;
M0071507/10;32517;71990;;
M0251323/1.8;10717;23784;;
M0131538/15;12389;27272;;
M0071507/15;32517;71991;;
M00733031/08;28803;63818;;
M0329305/L;8730;18413;;
7411844/23;26333;63223;;
M0667402/CR;10978;24570;;
M0101301/15;9217;20174;;
22777034/43;28986;64124;;
M0666402;8192;16263;;
9886413;3968;8667;;
1161211/18;30215;66913;;
9886414;3969;8672;;
1546993;2547;4246;;
1163301/09;2962;5286;;
6117606;22260;49140;;
M00733033/10;28805;63823;;
M0171893/FT;7041;13899;;
4936091;39399;86297;;
7139086/M;31452;69821;;
9886406;3961;8643;;
8485740;42904;93658;;
7857412/21;6379;12092;;
M0101305/35;9221;20187;;
M0251323/2.2;10717;23785;;
1271302/2;9115;19719;;
regchas;30488;67538;;
M0646401;9771;21596;;
2396026;35950;79377;;
M0779206/L;34794;76568;;
2229321/L;6061;11370;;
1161312/08;2426;2638;;
M0811789;33699;74379;;
M0834728;30118;66749;;
1168402/1012;42942;93746;;
M0656904;11938;26589;;
M08347017/TAN;6737;12894;;
8485739;42903;93657;;
1484317/2;5011;93747;;
M0834716;30114;66745;;
M0291376/18;35330;77980;;
M0749504/S;8664;18078;;
M0649502/XXL;28708;63524;;
8485742;42906;93660;;
PR/75634;13033;78217;;
1859129/M;26233;57639;;
PR/CHAMEAU;38186;83880;;
5465399;12519;27414;;
M0093640;10658;23501;;
1181779/011;36207;79847;;
M02536701;38379;84247;;
1289305/M;13008;28209;;
1546995;34509;75990;;
4049333/L;27103;59864;;
2978931/50;2349;3449;;
M08347081;6722;12862;;
1001863/006;14598;81257;;
7411847/12;26334;58177;;
PR/82940;31241;85501;;
4265128/66;23988;53127;;
M0251314/18;10718;23790;;
M0291376/20;35330;77981;;
M0252208;25842;57181;;
7411917/00;26371;63214;;
1801770/21;36673;80877;;
2278910/42;34544;76094;;
1891103/60;32647;72218;;
7857412/35;6380;12094;;
M0071213/16-10;5477;9689;;
7857412/45;6380;68543;;
M0834735;6759;12922;;
M08347098;6741;12900;;
7857412/28;6379;12093;;
6431122/18;23295;51280;;
1181629;8491;17092;;
11638032;3389;6372;;
M0093901;10662;23505;;
4935456/7;22961;50481;;
1181630;8492;17093;;
1181628;8493;17094;;
M0093801;10665;23509;;
2401360/1;25273;55576;;
4418402/4344;6553;12580;;
4418405/4546;6556;12597;;
4418411/4344;6566;12615;;
M0171604/0;6394;13043;;
M0329032/L;8717;18367;;
2181310/35-3;31241;69370;;
M0291562/080;22035;48690;;
M0667609;11399;25129;;
M0667617;11381;25069;;
M0575103;26488;58599;;
M0171612/1;6394;13047;;
M01716196/RT;6812;13053;;
4046716/300;18444;60757;;
1003350;34497;75963;;
PR/75497;17044;78080;;
M0819609/M;36285;80036;;
M0329514/M;6937;13642;;
43033208/14;30404;67333;;
1801777/21;43701;95768;;
54653106;12422;27315;;
7857414;5382;9377;;
M0252802/GM;25478;56540;;
1891103/70;32647;72219;;
M0698007/47;3422;6458;;
7139086/XXL;31452;69824;;
1163359/26;3039;64153;;
1260559;42943;93748;;
M0071213/20-08;5477;9692;;
M0745236/3006;2975;5354;;
M0834737;6776;12962;;
7857415/JA;28849;75937;;
1800538;36676;80885;;
M0835186;35276;77836;;
1181834/BM;42944;93750;;
M08347088;6766;12929;;
1181817/GL;35044;93749;;
1801772/15;37932;93751;;
M0071234/1415;32519;71995;;
M0812816;33778;74506;;
47010994;37836;83193;;
1859129/S;26233;57638;;
1163848/MIC;3263;6198;;
M0291564/040;29041;64266;;
1859131/L;26235;57644;;
M0093903;10660;23504;;
4291711;23918;52810;;
M0071234/1215;32519;71994;;
M0656704;11930;26581;;
4046716/222;18444;39380;;
M0291564/080;29041;64265;;
M01716210/NP;6821;13098;;
M01716210/NRT;6821;13099;;
1891103/50;32647;72217;;
9413306/FR;25808;57147;;
4049409/M;22359;49478;;
1415377;38816;85054;;
2927450;36008;79456;;
1001698/03;34503;75978;;
4291711/N;23918;62119;;
1001732/MG;34505;75986;;
M0745103/71;2884;5028;;
2226204/CE;27079;59803;;
7411847/73;26334;88231;;
2279201/L;2755;4714;;
1891103/80;32647;72220;;
M0645132;31040;68765;;
4700450;32101;71206;;
5340623;36839;81160;;
1801772/20;37932;93752;;
7139087/L;31508;69914;;
11638903/09;31070;68831;;
1177572;38918;85248;;
11638015;3369;6352;;
4701155/15;12897;27921;;
1043667;43703;95770;;
1949020/S;35293;77856;;
71390998/16;43709;95786;;
M0835733;38463;84432;;
M0171893/LFL;7041;74312;;
74118998/23;26368;63217;;
4118904/38;11442;60457;;
11638024;3377;6360;;
2979406/56;2589;4349;;
7139087/M;31508;69913;;
1801307/J;9871;21825;;
6431327/08;32590;72124;;
4703606/MI;17503;38313;;
M0071213/20-10;5477;9693;;
1619301/L;23759;52295;;
8487413;34641;76262;;
6431122/20;23295;51278;;
M0745124/66;2877;5009;;
M0745124/71;2877;5008;;
4701325/14;35787;79146;;
1261716/61;9084;19659;;
1003668;34498;75964;;
4701325/21;35787;79147;;
M0819609/XL;36285;80038;;
4701325/28;35787;79148;;
1859131/M;26235;57643;;
1797601;5138;8964;;
M0171118/10;6356;11983;;
M0101734/101;9588;20872;;
M0101734/416;9588;20873;;
M0101734/421;9588;20874;;
1081101/12;25156;55132;;
M0698116/42;3485;6694;;
2229015/L;6014;11212;;
2331701/LE;38445;84410;;
4701325/17;35787;79149;;
M0291567/040;29046;64282;;
7856129;34377;75766;;
M0171118/13;6356;11984;;
M0093906;10668;23512;;
M0101844/501;29532;65459;;
M0171118/15;6356;11985;;
4331103/08;18602;76817;;
M0645244/3006;9625;21102;;
M0645209/3006;9569;20775;;
1271720/30;9151;19938;;
M0094510;27645;61291;;
4936093;39401;86299;;
2401786/02;29955;66432;;
M0291584/20;21979;48468;;
M0645209/9362;9569;20777;;
M0291584/30;21979;48469;;
M0745135/76;2908;5100;;
M0251710/VJ;25541;66713;;
1949021/XL;38958;85327;;
1906104;31579;70065;;
2978931/54;2349;77172;;
1797616;5174;9006;;
M0747417;26449;58442;;
1801823/18;11770;26169;;
M0291746/FT;21466;77026;;
8731831/CO;39427;86340;;
4046705;12746;27693;;
M0398903/44;11441;57061;;
4027420;34753;76496;;
1271745/B09;9152;19945;;
8731740/474;10485;23254;;
1995104;28562;63149;;
M0746118;43705;95780;;
M0251708/P;26215;57570;;
M0745140/81;2923;5158;;
4046725;12754;27701;;
M0291585/100;21965;48412;;
M0170659;9459;20543;;
M0170668;40466;88424;;
M0071213/22-08;5477;9695;;
11638025;3378;6361;;
2401360/10;25273;55578;;
1801904/065;42945;93754;;
4291705/012;23924;52868;;
1181762/MC;8550;17635;;
M0173955;41520;90664;;
4701186/12;43704;95776;;
4701187/12;43704;95779;;
4701187/10;43704;95778;;
7139536;43713;95800;;
M0837602;38464;84433;;
6117612/03;8286;16463;;
M0747413/O;3170;5935;;
1271745/002;9152;19946;;
M0747417/50;3174;5939;;
1271317/26;9122;19806;;
54653072;39387;86278;;
M0647832;35541;78590;;
M0291585/40;21965;48410;;
M0810601;29103;64435;;
M0093648;37173;81872;;
1169004/L;11685;25763;;
1859131/XL;26235;57645;;
12999028;35422;78188;;
4897524;4026;8756;;
M0042921;9981;22108;;
4897507;3988;8709;;
1271737/035;9155;19949;;
4897501;3989;8710;;
4897521;3993;8714;;
4897513;3994;8715;;
4897518;3997;8718;;
4897519;3999;8720;;
7411750/12;38522;84565;;
1343801/VE;18756;40692;;
1859131/XXL;26235;57646;;
M0291593/04;21959;48398;;
4897531;4024;8754;;
M0171118/19;6356;11986;;
1343801/RO;18756;40689;;
1801904/100;42945;93753;;
74118992/02;26367;84559;;
6430623;23504;51254;;
1801773/115;38628;84732;;
1797604;5141;8971;;
1797609;5146;8976;;
9111314/24;10816;59896;;
1797603;5140;8970;;
M0171119/10;6356;11993;;
7139087/XXXXL;31508;69918;;
4700907;16045;35462;;
M0171119/13;6356;11994;;
7856092;34473;75935;;
2443309/MD;34064;75153;;
4701186/15;43704;95774;;
7856120;5191;9023;;
1181311/2050;9824;70628;;
1797622;5181;9013;;
1801864/16;11812;26393;;
1797639;5207;9039;;
9111706/10;15129;59589;;
1797610;5147;8977;;
M02915107/100;22021;48634;;
1484371;27015;59717;;
M0373605;26968;59643;;
1181640;38495;84487;;
1797635;5200;9032;;
1797615;5152;8982;;
7139088/M;31661;70309;;
M0171119/15;6356;11995;;
1001661/1;14556;30979;;
4393306;13694;29743;;
1001628/3;14551;30963;;
4156708;2818;4925;;
1001662/1;14555;30977;;
1343804/RO;18757;40693;;
1797638;5205;9037;;
1343804/VE;18757;40696;;
7856044;34189;75393;;
1168904/L;29917;66318;;
M0745145/66;2882;5023;;
M0656201;26971;59646;;
1797618;5177;9009;;
1162004;3303;6279;;
1707543;3914;8521;;
4333845/CR;18662;40295;;
4486302;34762;76505;;
9886302;26965;59640;;
1001660/1;14557;30982;;
7857709;39287;86018;;
2279202/L;3960;8641;;
M0094515;10671;23515;;
1343806/VE;18758;40699;;
1001660/2;14557;30983;;
1001661/2;14556;30980;;
1168902/L;11681;25751;;
4048903/66;22299;49320;;
1343806/BL;18758;40698;;
4785901;27059;59782;;
2138520/45;30621;67789;;
8731831/RH;39427;86339;;
M0073106;26979;59654;;
1263633;34643;76266;;
1271712/B71;9168;20021;;
1343806/RO;18758;40697;;
6117612/04;8286;16461;;
1343807/BL;18759;40701;;
11639013;28158;62236;;
1168902/XL;11681;25752;;
1081110/11;25154;55123;;
PR/TIR;38848;85101;;
M0745153/71;2887;5038;;
7412842;28580;63215;;
1237409;27608;61111;;
M0645289/300;39340;86195;;
7856205;5218;9052;;
M0834301;6702;12835;;
1739481/59;34879;76773;;
1343807/JA;18759;40702;;
21805136;35990;79432;;
1859132;26236;57599;;
1147602;5229;9065;;
M0101112/40;9201;20079;;
M0837404;31544;69990;;
M0746119;43706;95781;;
4438901/50;7536;14573;;
2401360/2;25273;55577;;
2443309/SC;34064;84198;;
1181877/ANA4034;8608;61495;;
M01710083;41521;90665;;
9111316/210;15182;34575;;
M0171176/16;41524;90672;;
M0171176/23;41524;90670;;
M0171176/19;41524;90671;;
4291709/633;23923;78007;;
4291709/NO;23923;72911;;
M0101112/20;9201;20076;;
1343807/RO;18759;40700;;
2401902/02;28015;84033;;
1484376;5052;8833;;
2087623;36218;79862;;
1147603;5230;9066;;
1801806/V1;11788;72383;;
M0101112/25;9201;20078;;
M0291485/10;37630;82697;;
4785948;9383;20456;;
1484364;5018;8799;;
1794302;5134;8960;;
PR/61867;28522;64484;;
PR/61868;28522;64485;;
1484377;5051;8832;;
M0745166/76;2897;5063;;
1484333;29800;65997;;
M0745170/66;2879;5016;;
1484373;5017;8798;;
1271746/14;9159;19962;;
M0745173/71;2911;5112;;
1337413;7744;15321;;
1343807/VE;18759;40703;;
1484335;5038;8819;;
M0819609/XXL;36285;80039;;
1859134/L;35007;77054;;
M0749701/S;10692;23609;;
1705703;3419;6424;;
8485735;27907;61738;;
1484368;5045;8826;;
5465701;28472;62867;;
M0666401;8197;16268;;
5548308/41;2784;4861;;
2182404;39355;86217;;
4897401;3987;8708;;
13859092;22156;48997;;
1181641;38496;84488;;
1271317/35;9122;19805;;
2397402;33546;74033;;
1705714;29704;65851;;
1800554;42946;93755;;
9111316/615;15182;34577;;
2035291/9374;38051;83618;;
4701186/10;43704;95775;;
M0834305;6703;12836;;
71390012/M;43710;95814;;
78574101/15;6523;12438;;
M06451107;9554;20739;;
2183611;26960;59635;;
5465707;12544;27439;;
7410248;18325;59459;;
M0655702;25411;56071;;
1385998;22241;49082;;
1484370;5046;8827;;
M0645118;9550;20733;;
M0322103;31074;68837;;
9111701/109;27899;75047;;
5465708;29732;65897;;
1415373;8001;15922;;
2215713;8356;16620;;
8486007;12834;27845;;
1705702;3857;8375;;
1181777/PP;34804;76595;;
1800555;42947;93756;;
2978932/46;2294;3460;;
M0655227;25369;55867;;
6117612/06;8286;16460;;
M0645222/270;9563;20751;;
1001659/1;14558;30985;;
M0655211;25345;55843;;
2297476;31255;69414;;
1546975;2548;4247;;
M0745173/76;2911;5111;;
1001659/2;14558;30986;;
M0645234/270;9562;20750;;
1001734/33;38529;84582;;
2345202;24566;53830;;
PR/80460;6871;83024;;
M0655233;25347;55845;;
M0291485/15;37630;82691;;
1058404;6538;12529;;
1163338/dw;3003;5521;;
2927402;31457;69835;;
M0655248;25344;55842;;
M0171177/10;41524;90679;;
4700917;32652;72234;;
M0835728;7117;14105;;
4333845/KA;18662;76819;;
4701187/15;43704;95777;;
71390012/L;43710;95816;;
7139377/XL;8819;95811;;
7139377/L;8819;95812;;
4935548/07;31611;70161;;
M0645246;9564;20753;;
7139056/XL;8769;18543;;
1859134/M;35007;77053;;
4265715;30222;66920;;
M0655280;25365;55863;;
1484311;5014;8795;;
2457594;31447;69799;;
7139088/XXL;31661;70312;;
1484378;5037;8818;;
73613995/2;3717;69128;;
1181311/2070;9824;70629;;
M0646202;30885;68381;;
1001653/2;14563;30990;;
1667707/86;27259;60349;;
6432912;23089;50839;;
1705823;31830;70610;;
M0666755/09;26935;59580;;
4197508;12856;27867;;
7146404;30860;68310;;
1001659/0;14558;30987;;
73613995/4-0;3717;69132;;
1169308/L;11696;25795;;
1385912;24098;53270;;
M0655216;25351;55899;;
2403302/js;28036;61992;;
1667703/EPA;32141;71268;;
M0745174/71;2883;5025;;
M0533602;26969;59644;;
1169308/XL;11696;25796;;
PR/67634;3023;70230;;
PR/67635;3023;70231;;
M0171177/06;41524;90680;;
1163338/ft;3003;5519;;
4027608;30928;68484;;
9111920/1;15174;34550;;
1949016/XS;35298;77887;;
1163957;32218;71373;;
M0834952;39187;85822;;
7139535/RM;43712;95799;;
2035291/857;38051;86196;;
6117612/1705;8286;16462;;
M0746290;43707;95782;;
1169309/XXL;11698;25802;;
18018121/07;39985;93757;;
M0655220;25350;55897;;
M0745174/76;2883;5026;;
M0747618;30629;67805;;
1859134/XL;35007;77055;;
1859134/XXL;35007;77056;;
M0745180/71;2890;5047;;
1437401/B2;22243;49091;;
1058406/4142;6540;12533;;
1001653/4;14563;30991;;
M0291485/20;37630;82694;;
1813306/AZ;17288;37404;;
M0647415;9790;21646;;
1707402/LI;3912;8517;;
1813306/LY;17288;37405;;
PR/67639;3003;70235;;
1813306/PP;17288;37407;;
PR/80461;6871;83025;;
4935225/103398;22434;49610;;
1813307/BA;17290;37411;;
1093395/PC;34823;76631;;
2283604;37324;82190;;
M0171176/06;41524;90674;;
M0251608/2;25498;56593;;
2035203/300;23064;58091;;
PR/67641;3003;70237;;
M0171176/10;41524;90673;;
1002718/25;30207;66883;;
M0251710/B;25541;56847;;
M0251607/2;25498;56592;;
4265208/764;24012;53054;;
1813307/PP;17290;37410;;
1813307/SA;17290;37412;;
1813311/AZ;17284;37390;;
4704555;16213;35630;;
2279202/XL;3960;8640;;
1081311/16;25161;55153;;
6439010/XL;38939;85290;;
18018121/08;39985;93758;;
M0171177/16;41524;90678;;
1081311/18;25161;55154;;
1707402/PA;3912;8518;;
78574023/15S;6387;67613;;
M0251710/JB;25541;56848;;
4197505;12853;27864;;
71390997/10;43708;95784;;
M0251710/RB;25541;56675;;
M0657540;37161;81860;;
4935279;22435;49611;;
M0745183/66;2902;5084;;
1001680/02;14566;30994;;
1247505;30336;67108;;
1801804/CE;11764;93762;;
1996503;31820;70593;;
2397501;34782;76535;;
1437401/J;22243;49087;;
1001680/04;14566;30995;;
4162801/S;28737;63602;;
1058407/3940;6541;12539;;
1858942/04;8933;19177;;
8487409;30524;67589;;
4162801/M;28737;63603;;
1800508;42948;93759;;
M0251607/6;25498;56596;;
1813314/AZ;17290;37408;;
1002830/MM;29310;64913;;
M0409417/XL;7587;14777;;
M0645202;9565;20755;;
1002831/GM;29312;64915;;
M0251608/6;25498;56597;;
M0171177/19;41524;90677;;
M0835922;7133;14128;;
M0645205;9568;20766;;
7414503;16367;35784;;
M0835926;7131;14126;;
1813315/GS;17285;37398;;
M0516536;31727;70411;;
4702913;42949;93763;;
M0666716;8282;16433;;
M0835932;7140;14135;;
1610604;23784;52167;;
9111705/18;15128;34345;;
7392001/060;16899;59567;;
7139089/XL;31775;70537;;
1801804/CGE;11764;93761;;
4700639;42950;93764;;
4703945;42952;93766;;
1801773/122;38628;93760;;
M0618004/40-44;8141;16187;;
1949021/XXXL;38958;85329;;
1043631;42953;93767;;
7391103/16;16885;36601;;
1397608;5554;9924;;
M0517406;30262;66981;;
1082008/06;25176;55224;;
M0927401;17031;37027;;
2283605;37325;82191;;
1247501;30332;67104;;
5548323;31339;69555;;
2180145;14762;33373;;
6117612/AU;8286;16449;;
13859471;35986;79428;;
1397609;5556;9928;;
5348210/40-41;37694;82842;;
73613995/5-0;3717;69133;;
1001672/AZ;14567;30998;;
1397610;5557;9929;;
M0290350;37866;83263;;
1858942/08;8933;19173;;
1177540;12880;27891;;
6431126;23288;51038;;
2188209/M;41410;93773;;
1247502;30333;67105;;
1247503;30334;67106;;
1082008/09;25176;55225;;
1397605;5544;9912;;
M0170301;6463;12329;;
2283606;37329;82195;;
m0292150;28260;62407;;
9886202;27073;59796;;
1001648/3;14576;31016;;
8007664;30027;66540;;
4700640;42951;93765;;
1169324/XL;31465;69857;;
1397607;5553;9923;;
M0645287/3006;38834;85382;;
2226204/BE;27079;59804;;
7391106/35;16877;36558;;
1397611;5560;9949;;
1397612;5566;9962;;
1397614;5579;9992;;
4197504;12852;27863;;
M0656203;30269;66989;;
7139538/CL;43715;95819;;
7139440/BL;43605;95794;;
1613666/ST;23886;52716;;
M0252101;28905;63976;;
1001649/4;14574;31013;;
1058407/43;6541;12541;;
8732301/10;10183;22454;;
7139090/10;33550;74046;;
1397615;5584;10000;;
4828524/40;38874;85147;;
21805016;14832;33192;;
4469413/57;25419;56124;;
1162104;28114;62182;;
7139436/L;27115;64811;;
4700408;12773;27779;;
8007660;30024;66537;;
4162138;28727;63568;;
7139436/M;27115;64810;;
2396022;35941;79368;;
4267418;12630;27525;;
2401632/T32;25299;55403;;
M0698907/42;33247;73417;;
1043632;42954;93768;;
6431127;23304;51054;;
7390401;12393;27412;;
2180401;30226;66931;;
1001652/03;14581;31027;;
7390402;12393;27410;;
9926525;34648;76271;;
4046711/20;18442;39376;;
9111711/109;33010;72940;;
1081115/20;25152;55115;;
2226102;27062;59785;;
2443307/09;34062;75147;;
7139436/S;27115;59928;;
7139436/XL;27115;64812;;
M0290351;37867;83264;;
M0591171/78;18782;40785;;
M0811036;34432;75861;;
4700432;12776;27784;;
7361374/2-0;3739;7705;;
2181309/10;14940;33548;;
7856091;34472;75934;;
M0221801/01;18429;39301;;
71390011/10;43711;95796;;
71390999/XL;43710;95791;;
7390403;12547;27443;;
M0745184/66;2913;5116;;
M0645201;9629;21106;;
1001689/04;14579;31021;;
7390406;12392;27284;;
7139090/14;33550;74043;;
M0291485/30;37630;82693;;
4155422/5;2582;68711;;
7139440/PI;43605;95483;;
M0749479;39171;85788;;
4266090;39184;85819;;
M0645206;9628;21105;;
M0645227;9632;21111;;
8007651;30016;66529;;
8007654;30019;66532;;
8007650;30015;66528;;
5341617/GO;23655;51942;;
2401737/17;25228;55332;;
8007645;30011;66524;;
8007648;30013;66526;;
1058407/45;6541;12542;;
2283902;37201;81935;;
M0591171/87;18782;40786;;
1001734/35;38529;84583;;
6430602;23502;51252;;
54653015;36596;80743;;
5340540;23723;51866;;
PR/67651;3003;70247;;
PR/67653;3003;70249;;
7146429;2509;4204;;
PR/67665;31646;70261;;
PR/82410;10486;84971;;
M0040647;29477;65302;;
2226202/CA;27080;76099;;
73619138/N30;3769;7875;;
4156702;2812;4919;;
7412863;42955;93769;;
4183302;24990;54765;;
2283903;37202;81936;;
1081115/25;25152;55116;;
7139377/M;8819;95810;;
7139377/S;8819;95809;;
M0666727;8282;16432;;
M0745184/76;2913;5114;;
8007649;30014;66527;;
M0290606;29556;65538;;
M0072396/06;6000;63790;;
3031706/01;29382;65097;;
1157808;34649;76272;;
8485227;39341;86197;;
M0645262;9633;21112;;
47859917;9406;20479;;
M0320604;30284;67015;;
4155501/0;2607;4403;;
6430615;23498;51248;;
7139090/16;33550;74044;;
7410652;18399;39248;;
7410621;18395;39244;;
1001102/54;30197;66853;;
1043692;35792;79154;;
2283907;37319;82185;;
1001304/10;14533;30900;;
8007644;30010;66523;;
M0749121/XL;42446;93770;;
1090614;30235;66946;;
2443308/EP;34063;75151;;
M0745190/66;2896;5061;;
6117612/AZ;8286;16448;;
M0291485/40;37630;82696;;
PR/82411;10486;84972;;
M0645243/3006;9635;21115;;
PR/68227;9871;70821;;
PR/68228;9871;70822;;
4183303;24991;54766;;
2443308/AN;34063;75149;;
2226202/CH;27080;59807;;
M0749121/L;42446;93771;;
2279109/XL;35550;78627;;
2226202/pa;27080;65158;;
1271739/025;9164;78641;;
2279109/XXL;35550;78628;;
2401376/05;31244;69375;;
1090613;28934;64031;;
4701087;32061;71103;;
1949021/XS;38958;85331;;
2443308/CR;34063;75150;;
7410647;18393;39242;;
M08347059;6727;12882;;
4156703;2813;4920;;
M0656701/10.5;25386;71377;;
71390011/16;43711;95797;;
71390999/XXL;43710;95793;;
4183304;24992;54767;;
M0745190/71;2896;5060;;
8007640;30006;66519;;
1271739/310;9164;19981;;
4046925;26931;59576;;
5341507/08;35820;79215;;
9926526;34650;76273;;
1001306/01;14536;30932;;
1001644/4;14583;31038;;
M0745191/71;2888;5041;;
1001644/6;14583;31036;;
1546937;2520;4219;;
1081116/28;33074;73058;;
1546920;2517;4216;;
4155502/4;2608;4407;;
2461801/BL;36014;79466;;
11638042;3397;6380;;
1546910;2513;4213;;
M0745508/2;3116;5867;;
M0666324;34289;75637;;
M0021502/4;8297;16491;;
4155510;2633;4495;;
PR/80464;6871;83028;;
7139304/M;8819;18677;;
2226210/BE;29416;65180;;
M0648901/46;28706;63518;;
4331101/30;34908;76821;;
2979713;2653;4560;;
4183310;24998;54773;;
M0101746/205;9578;20796;;
M0648901/50;28706;63519;;
7856028;5155;8985;;
M0320544;37979;83467;;
1705801;27506;60860;;
1001644/9;14583;31037;;
21805084;42956;93772;;
21810251;42957;93774;;
1161316/16;2341;2673;;
1161328/10;2342;2722;;
2181187/13;14937;64490;;
7857416/25S;6523;12451;;
1161334/06;39817;93776;;
M0516555;34763;76506;;
8007631;29998;66511;;
1833311/sa;5784;10677;;
1161316/18;2341;2674;;
1546963;2532;4231;;
M0835369;35323;77967;;
PR/78599;36845;81168;;
1161415/056;2924;5164;;
1080704;31659;70306;;
41631102;16230;35647;;
43033038;5432;9538;;
1082403;26050;57389;;
2978932/54;2294;3464;;
M0291485/50;37630;82695;;
M0745191/76;2888;5040;;
2401940/0;25285;55606;;
1546967;2536;4235;;
4155502/7;2608;4409;;
M0745508/4;3116;5866;;
9111726/136;15147;34458;;
4155504/6;2610;4418;;
1161317/06;2337;2676;;
4183312;29722;65885;;
PR/93297;8819;95801;;
M0321859/03;3902;8480;;
1001305/4;14529;30893;;
M0618004/40-42;8141;16188;;
1002701/4.7;11394;61308;;
2226206/CA;27082;65159;;
M0071202/18-08;5463;9619;;
1161304/12;2364;2592;;
7411953;16273;35690;;
1161403/36;2431;76011;;
4163179;42960;93783;;
4935504/7;13753;57561;;
7857418;6532;12514;;
1043673;42961;93784;;
PR/93298;8819;95802;;
M0321715/04;3894;8453;;
1546989;2544;4243;;
PR/93299;8819;95803;;
M0221601/01;18423;39285;;
1260505;9048;19542;;
M0250505;29167;64575;;
1181311/3070;9824;70631;;
1546988;2543;4242;;
M0321819/TA;3966;8669;;
M0810626;41472;90539;;
M0516101/41;33448;73802;;
M0290529;29831;66052;;
1437402/M;22244;49093;;
2180516;28665;63448;;
M0251602/8;25564;56720;;
2979443;39227;85895;;
1168911/M;42958;93775;;
1437402/G15;22244;49098;;
7857418/L25;6532;12503;;
1437402/J;22244;49096;;
M01705016;6470;12341;;
1081110/15;25154;55121;;
M0321810/11;3954;8631;;
M0251605/8;25565;56723;;
M0812919;33885;74736;;
2283909;37321;82187;;
1437402/O;22244;49094;;
1093378/H;28925;64018;;
M0170545;6436;12270;;
7139090/18;33550;74045;;
1437402/R;22244;49095;;
M0320506;29253;64761;;
91117129/35;15136;34390;;
M0071202/20-08;5463;9622;;
M0375009/864S;26479;90681;;
9111773/02;35791;79153;;
M0250503;29165;64573;;
6156813;29790;65987;;
PR/93300;8819;95804;;
6117613/OR;8287;16468;;
M0644957;41525;90682;;
M0321859/04;3902;8481;;
1163350/20;3033;5663;;
1707551/80;40383;90683;;
M0251605/10;25565;56724;;
M0811803/01;18538;39971;;
1437402/RO;22244;49097;;
PR/93301;8819;95805;;
4156707;2817;4924;;
7857418/M25;6532;12502;;
M0251602/4;25564;56721;;
M0251602/7;25564;56722;;
1586021;2339;2789;;
4935504/6;13753;57560;;
M0321819/GR;3966;8670;;
PR/93302;8819;95806;;
1271739/B16;9164;19983;;
4935536;22983;50306;;
4727603;2834;4947;;
6156819;7797;15445;;
4935537;22984;50307;;
M0321819/GO;3966;8671;;
7392401;16901;36501;;
4302802/05;5283;9130;;
4266008;32892;72680;;
4727607;2838;4951;;
M0648901/54;28706;63515;;
M0251605/9;25565;56727;;
1169404;26634;58934;;
4333871/720;29084;64378;;
7707615;24141;53369;;
PR/93304;43714;95808;;
1503808;26769;59312;;
7857459/08;6386;12132;;
1492517;26778;59325;;
7139090/20;33550;74047;;
1161334/04;39817;93777;;
7139304/S;8819;95807;;
7361374/3-0;3739;7703;;
1001309/18;14535;30917;;
6156826;7807;15468;;
M01718180/TR;6854;21186;;
5465503/5;23966;53004;;
M0251604/6;25566;56732;;
5465503/7;23966;53003;;
M0329416;6898;13557;;
4727621;32260;71426;;
7139304/XXL;8819;18689;;
11638013;3367;6350;;
M0251604/4;25566;56731;;
M0251605/4;25565;56725;;
1169424;31880;70769;;
2180561;32221;71378;;
M0251605/6;25565;56726;;
1958902/52;34326;75689;;
5348210/42-43;37694;83881;;
PR/80465;6871;83029;;
M0251604/8;25566;56728;;
9886211;32194;71341;;
7411708/308;30036;67958;;
M0251606/05;25576;56749;;
6431130;23307;51057;;
M0656701/357;25386;71509;;
43033042/cd;5302;9205;;
M0251606/08;25576;56745;;
1313000;26808;59361;;
1169406;11852;26503;;
